id,race_id,bet_type,combination,payout
327102,202606030611,単勝,16,16000
327112,202606030612,単勝,13,13000
327121,202609020601,単勝,16,16000
327131,202609020602,単勝,16,16000
327141,202609020603,単勝,16,16000
327151,202609020604,単勝,18,18000
327161,202609020605,単勝,16,16000
327181,202609020607,単勝,11,11000
327191,202609020608,単勝,11,11000
327211,202609020610,単勝,15,15000
327221,202609020611,単勝,18,18000
327231,202609020612,単勝,13,13000
327601,202603010301,単勝,16,16000
327611,202603010302,単勝,16,16000
327631,202603010304,単勝,15,15000
327641,202603010305,単勝,16,16000
327650,202603010306,単勝,15,15000
327660,202603010307,単勝,15,15000
327670,202603010308,単勝,15,15000
327680,202603010309,単勝,9,9000
327699,202603010311,単勝,15,15000
327709,202603010312,単勝,16,16000
327729,202606030702,単勝,11,11000
327739,202606030703,単勝,14,14000
327749,202606030704,単勝,13,13000
327759,202606030705,単勝,16,16000
327769,202606030706,単勝,6,6000
327777,202606030707,単勝,10,10000
