id,race_id,bet_type,combination,payout,popularity
590873,202502010111,単勝,16,16000,
590881,202502010112,単勝,14,14000,
590889,202505030301,単勝,16,16000,
590895,202505030302,単勝,11,11000,
590903,202505030303,単勝,16,16000,
590913,202505030304,単勝,12,12000,
590921,202505030305,単勝,11,11000,
590929,202505030306,単勝,10,10000,
590938,202505030307,単勝,16,16000,
590947,202505030308,単勝,18,18000,
590956,202505030309,単勝,16,16000,
590965,202505030310,単勝,16,16000,
590975,202505030311,単勝,15,15000,
590984,202505030312,単勝,16,16000,
590992,202509030301,単勝,16,16000,
591000,202509030302,単勝,16,16000,
591009,202509030303,単勝,16,16000,
591025,202509030305,単勝,8,8000,
591031,202509030306,単勝,18,18000,
591039,202509030307,単勝,16,16000,
591048,202509030308,単勝,6,6000,
591055,202509030309,単勝,13,13000,
591063,202509030310,単勝,16,16000,
591080,202509030312,単勝,16,16000,
591087,202502010201,単勝,16,16000,
591103,202502010203,単勝,12,12000,
591111,202502010204,単勝,10,10000,
591119,202502010205,単勝,9,9000,
591135,202502010207,単勝,9,9000,
591143,202502010208,単勝,13,13000,
591150,202502010209,単勝,13,13000,
591157,202502010210,単勝,14,14000,
591167,202502010211,単勝,14,14000,
591175,202502010212,単勝,11,11000,
591183,202505030401,単勝,16,16000,
591192,202505030402,単勝,16,16000,
591199,202505030403,単勝,16,16000,
591207,202505030404,単勝,18,18000,
591217,202505030405,単勝,10,10000,
591225,202505030406,単勝,16,16000,
591234,202505030407,単勝,14,14000,
591243,202505030408,単勝,16,16000,
591250,202505030409,単勝,10,10000,
591258,202505030410,単勝,15,15000,
591266,202505030411,単勝,14,14000,
591284,202509030401,単勝,16,16000,
591291,202509030402,単勝,14,14000,
591299,202509030403,単勝,18,18000,
591307,202509030404,単勝,15,15000,
591315,202509030405,単勝,8,8000,
591322,202509030406,単勝,16,16000,
591330,202509030407,単勝,10,10000,
591338,202509030408,単勝,16,16000,
591347,202509030409,単勝,15,15000,
591355,202509030410,単勝,18,18000,
591363,202509030411,単勝,17,17000,
591372,202509030412,単勝,16,16000,
591382,202502010301,単勝,16,16000,
591392,202502010302,単勝,12,12000,
591399,202502010303,単勝,13,13000,
591407,202502010304,単勝,16,16000,
591415,202502010305,単勝,15,15000,
591423,202502010306,単勝,9,9000,
591431,202502010307,単勝,16,16000,
591447,202502010309,単勝,10,10000,
591455,202502010310,単勝,8,8000,
591462,202502010311,単勝,15,15000,
591470,202502010312,単勝,8,8000,
591477,202505030501,単勝,16,16000,
591494,202505030503,単勝,16,16000,
591502,202505030504,単勝,16,16000,
591510,202505030505,単勝,12,12000,
591519,202505030506,単勝,16,16000,
591527,202505030507,単勝,16,16000,
591534,202505030508,単勝,16,16000,
591542,202505030509,単勝,9,9000,
591550,202505030510,単勝,14,14000,
591558,202505030511,単勝,11,11000,
591566,202505030512,単勝,16,16000,
591574,202509030501,単勝,12,12000,
591583,202509030502,単勝,16,16000,
591599,202509030504,単勝,13,13000,
591607,202509030505,単勝,12,12000,
591624,202509030507,単勝,10,10000,
591634,202509030508,単勝,16,16000,
591642,202509030509,単勝,13,13000,
591660,202509030511,単勝,16,16000,
591668,202509030512,単勝,14,14000,
591688,202502010402,単勝,14,14000,
591696,202502010403,単勝,12,12000,
591704,202502010404,単勝,16,16000,
591714,202502010405,単勝,12,12000,
591721,202502010406,単勝,11,11000,
591728,202502010407,単勝,13,13000,
591738,202502010408,単勝,11,11000,
591746,202502010409,単勝,10,10000,
591754,202502010410,単勝,14,14000,
591762,202502010411,単勝,15,15000,
591772,202502010412,単勝,12,12000,
591780,202505030601,単勝,12,12000,
591788,202505030602,単勝,16,16000,
591797,202505030603,単勝,16,16000,
591804,202505030604,単勝,16,16000,
591811,202505030605,単勝,16,16000,
591820,202505030606,単勝,16,16000,
591829,202505030607,単勝,16,16000,
591839,202505030608,単勝,15,15000,
591857,202505030610,単勝,16,16000,
591867,202505030611,単勝,14,14000,
591875,202505030612,単勝,16,16000,
591883,202509030601,単勝,16,16000,
591891,202509030602,単勝,14,14000,
591899,202509030603,単勝,18,18000,
591907,202509030604,単勝,15,15000,
591914,202509030605,単勝,10,10000,
591922,202509030606,単勝,16,16000,
591931,202509030607,単勝,9,9000,
591939,202509030608,単勝,16,16000,
591948,202509030609,単勝,9,9000,
591957,202509030610,単勝,16,16000,
591966,202509030611,単勝,14,14000,
591973,202509030612,単勝,15,15000,
591982,202502010501,単勝,15,15000,
591990,202502010502,単勝,12,12000,
591998,202502010503,単勝,14,14000,
592006,202502010504,単勝,13,13000,
592014,202502010505,単勝,16,16000,
592021,202502010506,単勝,12,12000,
592029,202502010507,単勝,16,16000,
592037,202502010508,単勝,12,12000,
592046,202502010509,単勝,8,8000,
592053,202502010510,単勝,16,16000,
592061,202502010511,単勝,16,16000,
592071,202502010512,単勝,14,14000,
592079,202503020101,単勝,10,10000,
592087,202503020102,単勝,16,16000,
592095,202503020103,単勝,15,15000,
592104,202503020104,単勝,16,16000,
592112,202503020105,単勝,8,8000,
592119,202503020106,単勝,11,11000,
592127,202503020107,単勝,7,7000,
592134,202503020108,単勝,16,16000,
592141,202503020109,単勝,8,8000,
592149,202503020110,単勝,14,14000,
592157,202503020111,単勝,16,16000,
592165,202503020112,単勝,15,15000,
592174,202510020101,単勝,12,12000,
592183,202510020102,単勝,6,6000,
592191,202510020103,単勝,16,16000,
592200,202510020104,単勝,16,16000,
592208,202510020105,単勝,14,14000,
592216,202510020106,単勝,14,14000,
592225,202510020107,単勝,15,15000,
592244,202510020109,単勝,8,8000,
592252,202510020110,単勝,6,6000,
592259,202510020111,単勝,16,16000,
592267,202510020112,単勝,14,14000,
592273,202502010601,単勝,12,12000,
592282,202502010602,単勝,12,12000,
592291,202502010603,単勝,12,12000,
592299,202502010604,単勝,9,9000,
592307,202502010605,単勝,12,12000,
592316,202502010606,単勝,16,16000,
592341,202502010609,単勝,10,10000,
592356,202502010611,単勝,14,14000,
592365,202502010612,単勝,14,14000,
592374,202503020201,単勝,15,15000,
592382,202503020202,単勝,16,16000,
592392,202503020203,単勝,15,15000,
592400,202503020204,単勝,15,15000,
592408,202503020205,単勝,13,13000,
592415,202503020206,単勝,7,7000,
592422,202503020207,単勝,16,16000,
592430,202503020208,単勝,9,9000,
592440,202503020209,単勝,11,11000,
592448,202503020210,単勝,15,15000,
592456,202503020211,単勝,14,14000,
592463,202503020212,単勝,14,14000,
592472,202510020201,単勝,12,12000,
592488,202510020203,単勝,16,16000,
592496,202510020204,単勝,16,16000,
592504,202510020205,単勝,17,17000,
592512,202510020206,単勝,10,10000,
592520,202510020207,単勝,18,18000,
592528,202510020208,単勝,14,14000,
592536,202510020209,単勝,8,8000,
592543,202510020210,単勝,15,15000,
592552,202510020211,単勝,13,13000,
592558,202510020212,単勝,16,16000,
592566,202502010701,単勝,8,8000,
592581,202502010703,単勝,13,13000,
592590,202502010704,単勝,9,9000,
592599,202502010705,単勝,7,7000,
592606,202502010706,単勝,12,12000,
592622,202502010708,単勝,9,9000,
592630,202502010709,単勝,8,8000,
592645,202502010711,単勝,14,14000,
592653,202502010712,単勝,13,13000,
592660,202503020301,単勝,10,10000,
592667,202503020302,単勝,15,15000,
592676,202503020303,単勝,9,9000,
592684,202503020304,単勝,9,9000,
592692,202503020305,単勝,7,7000,
592699,202503020306,単勝,14,14000,
592709,202503020307,単勝,16,16000,
592718,202503020308,単勝,16,16000,
592727,202503020309,単勝,10,10000,
592734,202503020310,単勝,15,15000,
592742,202503020311,単勝,16,16000,
592758,202510020301,単勝,5,5000,
592765,202510020302,単勝,16,16000,
592775,202510020303,単勝,18,18000,
592783,202510020304,単勝,14,14000,
592791,202510020305,単勝,8,8000,
592798,202510020306,単勝,16,16000,
592808,202510020307,単勝,16,16000,
592816,202510020308,単勝,9,9000,
592824,202510020309,単勝,8,8000,
592831,202510020310,単勝,11,11000,
592839,202510020311,単勝,11,11000,
592857,202502010801,単勝,10,10000,
592865,202502010802,単勝,12,12000,
592873,202502010803,単勝,13,13000,
592882,202502010804,単勝,15,15000,
592890,202502010805,単勝,6,6000,
592897,202502010806,単勝,12,12000,
592904,202502010807,単勝,12,12000,
592912,202502010808,単勝,13,13000,
592919,202502010809,単勝,11,11000,
592927,202502010810,単勝,10,10000,
592936,202502010811,単勝,10,10000,
592944,202502010812,単勝,10,10000,
592952,202503020401,単勝,14,14000,
592961,202503020402,単勝,15,15000,
592969,202503020403,単勝,16,16000,
592978,202503020404,単勝,11,11000,
592987,202503020405,単勝,8,8000,
592994,202503020406,単勝,16,16000,
593002,202503020407,単勝,16,16000,
593018,202503020409,単勝,16,16000,
593025,202503020410,単勝,16,16000,
593033,202503020411,単勝,15,15000,
593041,202503020412,単勝,15,15000,
593049,202510020401,単勝,16,16000,
